epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,611.45,0.91681,5.53022,0.55399,0.99206,1.06632,0.83033,0.67598,0.73576,0.57409,0.69683,0.11111,0.05625,0.00563,0.8807,5.93868,0.42434,1.24984,1.04915,0.00103288,0.00103288,0.00103288
30,632.193,0.86935,5.71997,0.51975,1.01941,1.02506,0.74596,0.8326,0.77167,0.60273,0.20497,0.13889,0.06875,0.00688,0.87417,5.91323,0.41062,1.1833,1.06732,0.00101873,0.00101873,0.00101873
31,652.997,0.87228,5.65971,0.50637,0.94794,1.05429,0.97131,0.69041,0.76715,0.5883,0.70331,0.16667,0.12839,0.01448,0.84349,5.83995,0.39954,1.12551,1.05598,0.00100459,0.00100459,0.00100459
32,673.811,0.84576,5.66623,0.50065,0.89198,0.9966,0.67871,0.56944,0.61549,0.46232,0.7381,0.13889,0.14833,0.01483,0.91217,5.80948,0.40247,1.37512,1.12303,0.00099044,0.00099044,0.00099044
33,694.627,0.75728,5.4592,0.47964,0.86606,0.98853,0.44532,0.625,0.51985,0.40935,0.82199,0.25131,0.25514,0.02551,0.86516,5.7513,0.39743,1.32131,1.09328,0.000976293,0.000976293,0.000976293
34,715.345,0.91904,5.5022,0.53052,0.94207,1.08412,0.4171,0.625,0.52654,0.41936,0.8402,0.27778,0.23879,0.02388,0.86534,5.68424,0.38958,1.29966,1.09711,0.000962146,0.000962146,0.000962146
35,736.18,0.8083,5.37651,0.45854,0.93606,0.99455,0.57279,0.61611,0.56431,0.43227,0.83868,0.27778,0.23891,0.02803,0.89586,5.62596,0.3763,1.26018,1.09405,0.000947999,0.000947999,0.000947999
36,756.944,0.81932,5.3219,0.54975,0.98537,1.01185,0.8073,0.58195,0.66149,0.50073,0.27159,0.25,0.19656,0.02989,0.88902,5.61797,0.35778,1.20331,1.15239,0.000933851,0.000933851,0.000933851
37,777.666,0.75213,5.10201,0.49096,0.83508,0.96113,0.70188,0.84628,0.73175,0.56118,0.30267,0.30556,0.24046,0.03239,0.89408,5.55941,0.35565,1.27968,1.15424,0.000919704,0.000919704,0.000919704
38,798.32,0.72449,5.40722,0.51165,0.88315,0.98682,0.67669,0.84722,0.75328,0.55331,0.33025,0.33333,0.27638,0.038,0.87562,5.506,0.3541,1.10503,1.09335,0.000905557,0.000905557,0.000905557
39,819.016,0.74605,5.32946,0.47519,0.80795,0.95868,0.71926,0.84722,0.79407,0.60814,0.32218,0.30556,0.22143,0.03252,0.82307,5.39537,0.34219,0.9999,1.05073,0.00089141,0.00089141,0.00089141
40,839.882,0.80456,5.31205,0.45813,0.86018,1.00217,0.81387,0.84722,0.81901,0.60656,0.39635,0.33333,0.28044,0.04178,0.88642,5.259,0.3247,0.98998,1.06937,0.000877263,0.000877263,0.000877263
41,860.78,0.7874,5.1502,0.45296,0.8115,0.97508,0.7092,0.84722,0.77207,0.57499,0.31774,0.30556,0.23628,0.04138,0.89848,5.26532,0.31544,1.09605,1.06835,0.000863116,0.000863116,0.000863116
42,881.402,0.72987,5.49041,0.46154,0.83232,0.95477,0.64687,0.84722,0.75861,0.56477,0.28348,0.25,0.19847,0.0439,0.86913,5.26698,0.31114,1.26696,1.0617,0.000848969,0.000848969,0.000848969
43,902.193,0.73681,5.12698,0.47119,0.84634,0.91462,0.71823,0.69095,0.6969,0.52963,0.27455,0.27778,0.21071,0.04178,0.87633,5.16544,0.30935,1.2159,1.07604,0.000834822,0.000834822,0.000834822
44,923.04,0.83632,5.16689,0.48745,0.82516,0.9939,0.95213,0.69587,0.79359,0.61,0.35996,0.30556,0.24275,0.04209,0.84057,5.3889,0.29877,1.01335,1.0694,0.000820675,0.000820675,0.000820675
45,943.856,0.82317,5.04381,0.5131,0.79693,1.01572,0.9644,0.70097,0.81129,0.60886,0.32796,0.27778,0.20363,0.03765,0.83333,5.34283,0.30179,0.98033,1.05002,0.000806528,0.000806528,0.000806528
46,964.521,0.76576,5.18583,0.54039,0.77196,0.99648,0.83197,0.86286,0.84722,0.62654,0.36146,0.30556,0.24698,0.0448,0.85609,5.25906,0.30076,0.95298,1.05577,0.00079238,0.00079238,0.00079238
47,985.364,0.72554,4.9804,0.50095,0.76598,0.97241,0.81701,0.84722,0.85021,0.62776,0.39961,0.33183,0.29262,0.04977,0.87373,5.27572,0.29744,0.93481,1.05355,0.000778233,0.000778233,0.000778233
48,1006.18,0.74331,4.99264,0.45428,0.7422,0.99681,0.86544,0.77525,0.84389,0.64762,0.42651,0.33333,0.29942,0.05992,0.86382,5.04769,0.29714,0.9638,1.0465,0.000764086,0.000764086,0.000764086
49,1026.98,0.68005,4.66333,0.46639,0.66858,0.92826,0.76655,0.76389,0.76655,0.59335,0.46283,0.36111,0.33661,0.06381,0.87386,5.01785,0.29568,1.07404,1.04739,0.000749939,0.000749939,0.000749939
50,1047.63,0.6977,5.00306,0.49142,0.72379,0.94175,0.76822,0.7449,0.75446,0.57356,0.42657,0.33333,0.29561,0.05576,0.91245,5.06007,0.29757,1.14067,1.0701,0.000735792,0.000735792,0.000735792
51,1068.28,0.73604,5.17061,0.48308,0.72741,0.9655,0.82168,0.63773,0.73571,0.54178,0.38935,0.30556,0.27845,0.04222,0.92799,5.08033,0.2984,1.12895,1.07918,0.000721645,0.000721645,0.000721645
52,1089.04,0.7582,5.06666,0.472,0.73672,0.94807,1,0.62097,0.77234,0.58289,0.34268,0.3027,0.23048,0.05096,0.85468,5.01269,0.29505,1.05942,1.00968,0.000707498,0.000707498,0.000707498
53,1109.75,0.79529,4.756,0.50043,0.74219,0.95558,0.97427,0.62991,0.76897,0.60002,0.39004,0.30556,0.27464,0.05619,0.83173,4.98772,0.30094,1.03767,1.00542,0.000693351,0.000693351,0.000693351
54,1130.38,0.72041,4.89447,0.44028,0.71072,0.92751,0.9821,0.64532,0.77701,0.5986,0.38935,0.30556,0.26548,0.06315,0.81015,5.00301,0.2997,1.00906,0.99817,0.000679204,0.000679204,0.000679204
55,1151.06,0.75951,4.73006,0.48528,0.72033,0.95493,0.96599,0.68058,0.78162,0.59939,0.41454,0.30556,0.2775,0.06487,0.80531,5.0661,0.29253,0.98016,0.99967,0.000665057,0.000665057,0.000665057
56,1171.87,0.66539,5.08437,0.47599,0.88256,0.90913,0.71361,0.69444,0.7373,0.58602,0.39144,0.30556,0.27737,0.05838,0.76738,4.8774,0.28905,0.89951,0.98537,0.000650909,0.000650909,0.000650909
57,1192.64,0.69504,4.99998,0.44815,0.6668,0.92483,0.83306,0.65825,0.76375,0.62296,0.42424,0.33333,0.31567,0.06918,0.7669,4.74937,0.28739,0.91026,0.98341,0.000636762,0.000636762,0.000636762
58,1213.33,0.72599,5.15711,0.49514,0.7364,0.97864,0.69674,0.82573,0.77357,0.61162,0.42496,0.33333,0.32636,0.07638,0.77815,4.70693,0.28066,0.9381,0.99154,0.000622615,0.000622615,0.000622615
