epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.916,1.63195,8.77843,0.70243,4.84205,1.56946,0.00175,0.25,0.07325,0.02195,0,0,0,0,1.65606,8.52317,0.69375,5.23145,1.80146,5.716e-05,5.716e-05,5.716e-05
2,44.6276,1.39569,8.86319,0.69942,4.30213,1.41892,0.3184,0.13889,0.14864,0.08437,0,0,0,0,1.52819,8.579,0.7007,4.1603,1.47755,0.000127337,0.000127337,0.000127337
3,66.2429,1.43587,8.84561,0.71114,3.61223,1.29958,0.85842,0.36111,0.35783,0.23545,0,0,0,0,1.16279,8.40559,0.69969,3.47744,1.1524,0.000196099,0.000196099,0.000196099
4,87.8509,1.26568,8.20412,0.70174,2.75885,1.15331,0.91361,0.36111,0.38643,0.26878,0,0,0,0,1.06756,8.32924,0.6998,3.0838,1.10208,0.000263446,0.000263446,0.000263446
